canale,famiglia,classe_abc,data_doc,qta,prezzo_medio,sconti,fatturato,costo_unitario,margine,lead_time,rotazione_magazzino,giacenza_media,ritardo_consegna
Retail,Viteria,C,2025-04-16,6,1.76,0.107,9.43,1.1,2.83,5,4.9,0.37,0
B2B,Torniti,C,2025-05-28,73,11.91,0.153,736.41,6.42,267.75,10,2.88,94.29,0
Estero,Torniti,B,2025-12-02,61,7.61,0.194,374.15,4.7,87.45,16,6.11,21.1,2
Retail,Viteria,A,2025-02-28,28,3.06,0.16,71.97,1.85,20.17,5,8.66,2.14,-1
B2B,Viteria,B,2025-03-02,17,2.23,0.174,31.31,1.22,10.57,6,5.24,1.96,1
Estero,Lamiere,A,2025-05-12,6,16.88,0.228,78.19,12.11,5.53,24,15.05,1.96,1
Retail,Torniti,B,2025-08-30,58,7.73,0.145,383.33,3.86,159.45,15,3.65,36.04,2
Retail,Torniti,C,2025-11-12,80,12.14,0.074,899.33,7.27,317.73,6,3.44,58.0,-4
B2B,Torniti,A,2025-08-15,12,8.03,0.264,70.92,5.04,10.44,12,10.92,2.83,-4
B2B,Lamiere,B,2025-07-21,11,12.12,0.221,103.86,8.91,5.85,90,8.33,1.96,9
B2B,Viteria,C,2025-12-05,85,1.92,0.159,137.25,1.07,46.3,7,3.35,12.98,1
Estero,Lamiere,B,2025-03-25,13,12.76,0.14,142.66,8.41,33.33,27,8.42,3.68,1
Retail,Viteria,A,2025-12-17,145,2.28,0.193,266.79,1.51,47.84,4,9.81,9.85,0
Retail,Torniti,A,2025-05-16,22,8.04,0.197,142.03,5.19,27.85,17,10.43,4.34,1
B2B,Viteria,C,2025-05-02,17,1.98,0.145,28.78,1.33,6.17,8,3.6,1.67,-6
B2B,Viteria,A,2026-01-05,26,2.78,0.267,52.98,2.01,0.72,13,12.58,1.27,6
Retail,Lamiere,C,2025-09-14,17,11.1,0.098,170.21,7.32,45.77,15,4.23,12.31,-3
B2B,Lamiere,C,2025-06-28,76,15.97,0.192,980.69,11.1,137.09,17,2.37,114.24,-2
Retail,Torniti,B,2025-05-22,59,7.41,0.156,368.99,4.34,112.93,12,6.47,9.28,3
Retail,Lamiere,C,2025-07-02,73,20.6,0.106,1344.4,12.38,440.66,20,4.23,67.39,1
Retail,Assemblati,A,2025-11-06,30,20.7,0.208,491.83,14.83,46.93,20,16.68,12.99,-1
B2B,Assemblati,B,2025-03-18,16,19.96,0.221,248.78,12.78,44.3,23,4.22,12.18,0
Estero,Assemblati,B,2025-03-26,24,19.03,0.188,370.86,13.31,51.42,28,7.24,14.73,-1
Estero,Torniti,C,2025-05-13,16,4.64,0.128,64.74,2.51,24.58,15,3.1,4.97,-2
Retail,Torniti,B,2025-07-17,106,12.55,0.127,1161.35,7.75,339.85,13,6.42,68.21,2
B2B,Torniti,A,2025-11-15,67,5.14,0.218,269.31,2.92,73.67,12,6.87,12.68,-1
B2B,Lamiere,C,2025-04-08,22,12.25,0.101,242.28,7.46,78.16,22,3.48,25.39,-2
B2B,Viteria,A,2025-11-04,10,1.38,0.243,10.45,0.9,1.45,9,11.18,0.32,-3
B2B,Torniti,C,2025-12-19,115,4.65,0.142,458.82,2.68,150.62,16,2.49,55.48,0
Retail,Viteria,C,2025-06-29,28,2.14,0.093,54.35,1.29,18.23,1,5.81,4.1,-3
Retail,Viteria,C,2026-01-07,22,1.94,0.121,37.52,1.13,12.66,8,2.04,6.64,-1
Estero,Assemblati,C,2025-12-14,116,14.78,0.128,1495.03,11.32,181.91,25,4.22,126.35,2
B2B,Viteria,C,2025-11-08,15,1.78,0.188,21.68,1.12,4.88,4,1.5,5.16,-2
B2B,Lamiere,A,2025-06-09,18,8.28,0.229,114.91,5.43,17.17,18,9.15,3.64,-2
B2B,Torniti,C,2025-05-11,19,6.71,0.131,110.79,3.51,44.1,9,4.14,9.17,-2
B2B,Viteria,C,2025-12-03,7,1.74,0.125,10.66,1.25,1.91,10,4.49,0.79,3
B2B,Assemblati,C,2025-07-02,34,9.68,0.164,275.14,7.74,11.98,26,3.37,34.0,7
B2B,Viteria,C,2025-02-02,11,1.58,0.173,14.37,1.07,2.6,3,3.22,1.98,-1
B2B,Assemblati,B,2025-10-10,14,20.24,0.178,232.92,14.0,36.92,22,7.32,9.38,3
Retail,Torniti,B,2025-05-28,12,6.23,0.119,65.86,3.61,22.54,12,8.37,2.6,-3
B2B,Viteria,A,2025-12-29,14,2.05,0.271,20.92,1.3,2.72,2,16.21,0.31,-3
Retail,Viteria,B,2025-11-30,11,2.51,0.111,24.55,1.47,8.38,9,3.82,2.59,1
Retail,Viteria,C,2025-03-01,31,1.74,0.12,47.47,1.01,16.16,8,3.26,5.29,-7
B2B,Lamiere,C,2025-12-16,21,11.96,0.139,216.25,8.83,30.82,24,1.62,57.03,3
Retail,Viteria,B,2026-01-03,26,2.77,0.148,61.36,1.71,16.9,7,3.72,5.47,-2
Retail,Assemblati,B,2025-10-25,258,18.07,0.162,3906.81,12.2,759.21,17,4.69,302.04,-2
B2B,Viteria,C,2025-05-02,21,1.71,0.16,30.16,1.13,6.43,10,4.74,1.14,0
B2B,Assemblati,B,2025-09-23,45,24.0,0.184,881.28,16.73,128.43,26,5.07,57.71,5
Retail,Viteria,C,2025-12-04,50,1.82,0.128,79.35,0.98,30.35,5,3.16,6.61,-2
B2B,Assemblati,C,2025-11-15,23,20.19,0.156,391.93,13.62,78.67,25,3.89,30.47,2
B2B,Viteria,A,2025-06-28,32,1.37,0.314,30.07,0.82,3.83,1,7.91,0.94,0
B2B,Lamiere,A,2025-10-07,25,11.53,0.206,228.87,7.94,30.37,22,4.98,10.85,2
Retail,Torniti,C,2025-06-11,30,9.09,0.066,254.7,5.52,89.1,14,2.7,37.38,-2
Retail,Viteria,B,2025-04-24,14,1.23,0.16,14.46,0.82,2.98,1,5.75,0.8,-1
Retail,Assemblati,C,2025-09-24,15,19.69,0.099,266.11,13.99,56.26,21,4.12,14.59,1
Retail,Viteria,A,2025-07-11,25,2.5,0.206,49.62,1.5,12.12,1,9.3,2.03,-8
B2B,Lamiere,A,2025-04-14,3,12.7,0.218,29.79,9.27,1.98,16,11.71,0.44,2
Retail,Lamiere,B,2025-09-20,110,13.16,0.141,1243.49,9.46,202.89,18,8.29,35.69,-3
B2B,Torniti,C,2025-05-19,213,,0.159,883.13,2.92,261.17,90,5.18,42.77,9
B2B,Viteria,C,2025-08-24,29,2.11,0.139,52.68,1.33,14.11,12,3.72,2.88,4
Retail,Viteria,C,2025-06-02,48,2.08,0.105,89.36,1.25,29.36,6,2.35,15.32,-2
B2B,Viteria,B,2025-12-11,72,2.06,0.163,124.14,1.18,39.18,8,3.88,11.27,-3
Retail,Viteria,C,2025-11-28,7,2.47,0.108,15.42,1.75,3.17,9,2.34,2.31,1
Retail,Viteria,A,2025-07-13,62,2.01,0.219,97.33,1.2,22.93,5,6.86,4.65,2
Retail,Assemblati,C,2025-10-08,16,29.42,0.075,435.42,21.53,90.94,20,3.62,31.69,-2
Retail,Lamiere,C,2025-03-27,242,12.93,0.074,2897.51,8.01,959.09,16,6.78,148.6,-6
Retail,Torniti,B,2026-01-21,20,10.94,0.164,182.92,6.89,45.12,12,6.46,10.5,3
B2B,Lamiere,C,2025-04-10,61,16.7,0.124,892.38,10.55,248.83,21,3.4,81.77,3
B2B,Viteria,B,2025-12-04,21,2.34,0.207,38.97,1.61,5.16,6,8.4,1.35,0
B2B,Lamiere,A,2025-11-26,221,11.47,0.241,1923.97,8.62,18.95,16,7.48,55.83,-4
B2B,Viteria,B,2025-03-28,15,3.4,0.182,41.72,2.18,9.02,5,8.64,0.85,0
B2B,Viteria,C,2025-01-25,79,1.87,0.179,121.29,1.17,28.86,2,4.91,4.01,1
Estero,Lamiere,B,2025-10-18,46,14.02,0.189,523.03,9.43,89.25,26,6.13,31.08,7
B2B,Lamiere,C,2025-12-05,37,11.93,0.156,372.55,8.09,73.22,15,7.28,13.03,-1
B2B,Assemblati,A,2025-10-10,31,13.57,0.197,337.8,9.99,28.11,21,14.77,8.29,1
B2B,Viteria,C,2025-02-11,13,2.49,0.164,27.06,1.55,6.91,13,3.56,2.3,-6
B2B,Lamiere,C,2025-09-14,2,10.4,0.129,18.12,7.48,3.16,18,3.33,1.55,3
Retail,Viteria,A,2025-06-13,72,2.83,0.186,165.86,1.65,47.06,8,8.6,6.53,2
Retail,Viteria,C,2025-12-22,15,3.01,0.1,40.64,2.05,9.89,2,3.34,2.49,0
Retail,Torniti,C,2025-11-10,79,9.45,0.138,643.53,5.51,208.24,16,3.38,84.52,3
Retail,Viteria,B,2025-11-09,35,1.89,0.135,57.22,1.12,18.02,6,5.37,2.65,-3
B2B,Torniti,B,2025-06-19,81,5.97,0.162,405.23,3.67,107.96,11,5.57,27.7,-1
Retail,Lamiere,A,2025-05-19,55,7.68,0.219,329.89,5.35,35.64,13,6.59,11.23,-1
B2B,Viteria,C,2025-11-18,2,1.75,0.165,2.92,0.96,1.0,13,2.87,0.3,3
B2B,Assemblati,C,2025-03-05,45,22.0,0.165,826.65,15.42,132.75,20,2.0,123.91,4
B2B,Lamiere,C,2025-02-27,17,11.31,0.18,157.66,6.71,43.59,15,4.05,9.42,1
Retail,Torniti,C,2025-02-13,79,7.01,0.134,479.58,4.02,162.0,11,3.6,33.92,0
B2B,Lamiere,C,2025-07-27,44,11.14,0.132,425.46,7.29,104.7,18,3.35,35.64,2
B2B,Assemblati,A,2025-02-18,45,24.39,0.212,864.87,17.85,61.62,22,13.64,25.42,0
B2B,Viteria,B,2025-08-22,19,1.78,0.207,26.82,1.05,6.87,9,4.43,1.82,3
B2B,Lamiere,C,2025-03-24,10,19.09,0.145,163.22,12.56,37.62,19,2.73,10.56,-1
Retail,Torniti,A,2025-12-13,16,7.04,0.187,91.58,4.59,18.14,14,5.95,3.31,1
B2B,Viteria,A,2025-06-28,4,1.9,0.218,5.94,1.33,0.62,7,14.31,0.19,-2
B2B,Lamiere,C,2025-02-25,14,10.77,0.162,126.35,6.93,29.33,24,4.33,5.16,4
B2B,Assemblati,C,2025-10-02,6,30.23,0.158,152.72,23.0,14.72,21,5.57,9.44,1
Retail,Torniti,C,2025-05-25,6,8.5,0.097,46.05,5.23,14.67,16,6.09,1.61,5
B2B,Torniti,A,2025-04-27,28,11.07,0.212,244.25,5.87,79.89,12,8.62,7.92,-1
B2B,Torniti,C,2025-09-19,42,5.85,0.174,202.95,3.32,63.51,10,2.73,19.11,2
B2B,Assemblati,A,2026-01-05,24,26.37,0.245,477.82,15.79,98.86,17,5.33,39.73,-1
Estero,Assemblati,B,2026-01-14,15,20.39,0.192,247.13,14.94,23.03,27,4.09,19.06,1
Estero,Torniti,C,2025-06-29,10,8.81,0.088,80.35,4.91,31.25,21,3.12,5.79,1
Retail,Viteria,C,2025-11-27,18,1.66,0.101,26.86,1.04,8.14,3,1.7,5.23,0
B2B,Viteria,C,2025-04-08,11,1.96,0.136,18.63,1.42,3.01,5,2.4,1.33,-3
Estero,Torniti,C,2025-11-26,23,5.47,0.131,109.33,3.63,25.84,19,3.4,13.76,-1
Retail,Assemblati,C,2025-12-31,5,23.99,0.119,105.68,16.54,22.98,20,4.78,5.6,1
Retail,Lamiere,B,2025-07-29,49,10.26,0.147,428.84,6.56,107.4,14,4.67,38.11,1
B2B,Viteria,B,2025-07-31,14,1.76,0.19,19.96,1.18,3.44,4,6.27,1.25,-1
B2B,Viteria,C,2025-08-15,36,2.37,0.15,72.52,1.37,23.2,9,6.72,2.22,-1
B2B,Lamiere,C,2025-02-17,60,13.76,0.119,727.35,9.9,133.35,20,1.86,171.55,-3
Estero,Assemblati,B,2025-12-01,34,14.54,0.152,419.22,12.06,9.18,27,8.77,21.39,3
B2B,Viteria,B,2025-10-18,55,1.12,0.212,48.54,0.72,8.94,8,6.86,2.77,1
B2B,Torniti,B,2025-12-05,3,7.36,0.18,18.11,4.76,3.83,11,9.35,0.55,2
B2B,Torniti,B,2025-03-05,15,9.65,0.213,113.92,6.2,20.92,15,8.42,4.76,0
Retail,Assemblati,C,2025-11-10,74,17.68,0.117,1155.25,12.34,242.09,21,2.77,72.65,-1
B2B,Viteria,A,2025-06-03,41,3.04,0.258,92.48,1.92,13.76,4,10.01,3.94,-2
Estero,Assemblati,B,2025-11-16,156,19.77,0.177,2538.23,13.48,435.35,25,3.6,152.67,2
Retail,Torniti,C,2026-01-19,135,4.98,0.091,611.12,3.24,173.72,13,2.91,76.66,0
Retail,Torniti,B,2025-12-09,33,5.5,0.137,156.63,3.06,55.65,12,6.06,10.09,-2
B2B,Viteria,B,2025-12-22,19,2.18,0.203,33.01,1.41,6.22,2,6.67,2.18,-6
Retail,Lamiere,B,2025-03-04,9,15.49,0.097,125.89,11.23,24.82,14,7.91,6.32,-1
Retail,Torniti,A,2025-05-21,15,11.77,0.215,138.59,6.83,36.14,10,17.4,3.15,-1
Retail,Viteria,B,2025-05-08,16,1.67,0.13,23.25,0.99,7.41,8,5.15,1.63,0
B2B,Lamiere,A,2025-07-28,14,12.36,0.238,131.86,8.32,15.38,26,14.93,2.85,0
B2B,Torniti,A,2026-01-13,10,6.51,0.238,49.61,3.67,12.91,14,10.98,0.73,-1
B2B,Torniti,A,2025-09-29,37,6.27,0.239,176.54,3.8,35.94,10,6.33,12.32,0
B2B,Viteria,B,2025-08-08,134,1.64,0.164,183.72,0.96,55.08,8,5.69,9.19,3
B2B,Lamiere,A,2025-11-11,62,10.96,0.243,514.4,7.08,75.44,18,10.41,19.22,0
B2B,Viteria,C,2025-03-27,18,1.88,0.162,28.36,1.21,6.58,10,2.61,2.86,-4
B2B,Assemblati,A,2025-09-20,68,19.41,0.199,1057.22,14.45,74.62,26,6.95,43.63,0
Retail,Assemblati,B,2025-07-24,35,23.97,0.114,743.31,16.98,149.01,24,4.12,52.09,6
B2B,Viteria,C,2025-04-06,24,2.43,0.168,48.52,1.35,16.12,10,2.89,7.5,3
Estero,Viteria,A,2025-09-14,22,1.47,0.234,24.77,0.98,3.21,12,7.39,0.72,2
Retail,Viteria,B,2025-11-24,20,1.43,0.146,24.42,0.86,7.22,10,9.23,0.8,1
B2B,Lamiere,C,2025-11-20,47,15.47,0.136,628.21,11.8,73.61,17,1.48,83.37,2
Retail,Assemblati,C,2025-11-25,28,17.77,0.114,440.84,12.7,85.24,20,3.64,36.12,0
B2B,Lamiere,B,2025-11-14,12,10.91,0.166,109.19,7.48,19.43,17,7.22,4.75,3
Estero,Viteria,C,2025-07-12,11,1.7,0.127,16.33,1.02,5.11,6,2.5,1.25,1
B2B,Viteria,C,2025-02-08,33,1.54,0.124,44.52,0.97,12.51,12,3.23,4.95,2
Retail,Viteria,B,2026-01-09,38,1.56,0.137,51.16,1.18,6.32,8,5.32,3.83,-2
B2B,Assemblati,A,2025-07-06,18,15.61,0.219,219.45,11.02,21.09,15,9.73,8.9,-1
B2B,Torniti,A,2025-09-09,8,7.65,0.255,45.59,4.98,5.75,17,12.61,1.33,-1
B2B,Torniti,C,2025-01-29,86,6.49,0.159,469.4,3.92,132.28,13,4.28,21.09,2
Estero,Viteria,B,2025-12-12,69,2.25,0.159,130.57,1.5,27.07,15,4.86,9.04,1
Retail,Assemblati,A,2025-12-12,3,19.88,0.212,47.0,12.78,8.66,20,5.91,2.86,2
B2B,Viteria,B,2025-12-26,94,2.26,0.171,176.11,1.58,27.59,4,6.36,10.46,0
B2B,Assemblati,C,2025-03-26,20,15.85,0.149,269.77,11.63,37.17,22,2.78,35.21,-3
B2B,Assemblati,A,2025-11-25,30,10.63,0.228,246.19,7.54,19.99,19,8.31,10.03,3
B2B,Lamiere,A,2025-09-07,77,12.99,0.255,745.17,9.3,29.07,14,10.81,25.39,-1
B2B,Assemblati,B,2025-03-16,128,21.81,0.203,2224.97,15.83,198.73,25,5.15,175.27,0
B2B,Viteria,C,2025-08-18,67,1.57,0.176,86.68,0.9,26.38,9,3.9,7.13,-3
Retail,Torniti,B,2025-07-14,31,10.97,0.142,291.78,5.52,120.66,16,14.46,3.91,0
Estero,Viteria,C,2025-09-07,6,1.6,0.071,8.92,1.11,2.26,11,4.45,0.79,-1
B2B,Lamiere,A,2025-02-21,3,14.19,0.231,32.74,9.52,4.18,15,16.01,0.71,-3
Retail,Viteria,B,2025-08-15,59,3.48,0.171,170.21,2.07,48.08,8,7.17,8.45,-5
B2B,Viteria,B,2025-09-26,94,1.82,0.184,139.6,1.09,37.14,5,6.16,5.4,-2
Retail,Viteria,B,2025-10-10,11,2.13,0.102,21.04,1.45,5.09,5,7.21,0.57,1
B2B,Viteria,B,2025-10-29,19,1.75,0.199,26.63,1.05,6.68,10,7.09,1.44,1
Retail,Torniti,C,2025-09-07,14,12.21,0.11,152.14,7.64,45.18,12,4.73,5.3,2
Retail,Lamiere,B,2025-10-05,14,16.59,0.125,203.23,11.06,48.39,15,6.13,8.97,0
Retail,Viteria,C,2025-02-23,72,3.85,0.095,250.87,2.19,93.19,2,2.21,34.36,-2
B2B,Assemblati,A,2025-11-09,31,19.3,0.223,464.88,14.59,12.59,25,5.98,12.07,1
Estero,Assemblati,C,2025-06-04,20,16.81,0.14,289.13,12.84,32.33,25,4.11,23.15,3
B2B,Viteria,B,2025-08-09,350,1.56,0.191,441.71,0.92,119.71,10,4.05,20.27,4
B2B,Lamiere,B,2025-08-09,6,12.19,0.167,60.93,8.27,11.31,19,7.63,1.78,-1
Retail,Torniti,A,2026-01-13,42,4.88,0.19,166.02,2.95,42.12,15,15.98,4.66,-1
B2B,Torniti,C,2025-05-20,9,5.77,0.135,44.92,3.56,12.88,13,3.24,4.41,0
Retail,Lamiere,C,2025-06-11,21,13.39,0.129,244.92,10.16,31.56,15,5.35,20.17,-1
Retail,Torniti,C,2025-10-26,28,8.63,0.118,213.13,5.07,71.17,9,3.83,16.57,-2
B2B,Viteria,C,2025-09-10,57,2.92,0.148,141.81,1.77,40.92,6,3.53,15.71,-1
Estero,Viteria,A,2025-05-18,19,2.01,0.222,29.71,1.23,6.34,13,10.26,0.47,-2
B2B,Torniti,B,2025-05-27,17,4.02,0.21,53.99,2.26,15.57,12,4.49,2.85,2
B2B,Torniti,B,2025-11-20,19,5.17,0.187,79.86,2.75,27.61,15,4.29,4.37,4
B2B,Assemblati,C,2025-11-23,8,19.22,0.165,128.39,13.94,16.87,26,1.97,11.14,1
Estero,Viteria,A,2025-03-16,46,2.03,0.25,70.04,1.3,10.24,11,7.74,3.94,4
B2B,Viteria,B,2025-06-16,33,2.7,0.18,73.06,1.67,17.95,4,12.69,1.74,-1
B2B,Viteria,C,2025-10-29,38,2.29,0.183,71.1,1.41,17.52,7,2.08,11.21,-3
B2B,Viteria,A,2025-03-06,23,2.27,0.267,38.27,1.33,7.68,4,6.62,1.77,1
Estero,Viteria,C,2025-03-29,20,1.88,0.135,32.52,1.18,8.92,16,2.64,2.77,-2
Estero,Lamiere,B,2025-03-20,79,17.37,0.161,1151.3,11.93,208.83,22,4.6,106.94,3
Retail,Lamiere,C,2025-08-02,68,11.99,0.105,729.71,8.38,159.87,14,3.85,66.47,1
Estero,Torniti,C,2025-07-05,101,9.11,0.125,805.1,5.58,241.52,16,2.83,53.22,-1
Estero,Lamiere,C,2025-05-18,36,12.3,0.114,392.32,8.56,84.16,18,3.27,34.62,-1
B2B,Viteria,B,2025-03-12,95,1.25,0.201,94.88,0.84,15.08,11,4.46,3.2,-3
B2B,Torniti,A,2025-09-11,16,7.54,0.22,94.1,4.7,18.9,20,8.47,3.92,3
Retail,Viteria,A,2025-11-12,20,3.19,0.183,52.12,2.04,11.32,2,9.79,1.63,-2
Retail,Assemblati,A,2025-04-09,81,20.33,0.183,1345.38,13.22,274.56,90,9.54,59.41,10
B2B,Viteria,C,2025-09-22,57,2.66,0.123,132.97,1.76,32.65,7,7.0,8.25,-1
B2B,Lamiere,B,2025-11-08,18,7.93,0.203,113.76,5.3,18.36,22,5.94,3.44,0
Retail,Assemblati,B,2025-08-13,9,16.68,0.135,129.85,12.06,21.31,14,5.58,4.12,1
B2B,Torniti,B,2025-08-19,20,6.27,0.216,98.31,3.44,29.51,15,2.5,16.51,1
